url,rank2017,startedDateTime,cdn,reqTotal,reqHtml,reqJS,reqCSS,reqImg,bytesTotal,bytesHtml,bytesJS,bytesCSS,bytesImg,TTFB,performanceScore,firstContentfulPaint,maxPotentialFirstInputDelay,speedIndex,firstMeaningfulPaint,firstCPUIdle,timeToInteractive
www.abcnyheter.no,14169,1583468635,"",108,12,40,4,35,2121207,93624,855020,89076,708610,2313,0.34,4237,132,5659,4237,8873,12359
www.teachingenglish.org.uk,14170,1584635134,Fastly,113,5,32,30,44,2228139,19320,477584,75419,1548212,1429,0.34,3253,103,6780,6179,6368,14238
www.undip.ac.id,14171,1583521332,"",140,9,30,24,68,14812118,212055,735205,362755,13375856,3647,,9409,135,10262,9409,13086,
www.opensuse.org,14172,1584543639,"",29,1,4,2,17,1213638,25261,572399,215669,255953,1400,0.23,6434,1092,6731,8294,10208,10208
www.hotnigerianjobs.com,14173,1584666597,Cloudflare,66,18,28,3,13,765455,77465,499246,6737,147995,1766,0.53,1517,205,1543,1517,65414,65414
www.elitereaders.com,14178,1584898093,Cloudflare,187,14,40,7,116,6055029,150634,948438,148539,4644338,1385,0.23,2049,191,10437,5058,30815,32862
www.digistore24.com,14182,1583889937,"",59,4,17,10,21,3537448,36453,170589,93460,3059855,3594,0.27,3526,272,14547,4282,5135,16528
www.units.miamioh.edu,14183,1584821369,"",8,1,0,0,7,10651,3016,0,0,7635,2279,1,1385,16,1602,1385,1385,1385
miamioh.edu,14183,1583302245,"",113,11,27,8,32,2245565,17716,693474,63546,1252787,2389,0.21,2944,186,13957,5930,13998,13998
www.lib.miamioh.edu,14183,1584383261,"",65,4,32,15,11,1894820,46128,428190,235655,1099851,4323,0.34,4875,93,4941,4875,8619,12512
www.miamioh.edu,14183,1584524809,"",164,13,62,9,42,3456108,18417,834898,64991,2315208,2331,0.27,2376,166,7587,5337,15176,24931
www.uts.edu.au,14186,1584201093,"",81,8,28,2,32,1449360,20266,695933,116415,540550,2514,0.34,3006,300,6408,4926,11041,13058
www.eleconomista.com.mx,14187,1583503570,Cloudflare,444,64,90,11,140,4473582,269699,1630933,31863,2395380,1346,0.27,1714,226,13026,4762,8245,55619
www.hmetro.com.my,14188,1584437850,Cloudflare,205,17,52,6,104,4602213,44559,1922342,85762,2432448,1372,0.2,2284,393,13325,8335,12335,34105
www.sahamyab.com,14190,1584886573,"",103,2,33,4,58,2965252,4752,1672005,116590,652189,2782,0.01,13471,2207,16125,16472,21401,21401
blog.sahamyab.com,14190,1584702479,"",51,1,15,9,23,2347186,86549,295376,324589,1396904,2355,0.23,5703,342,7403,5703,6693,13705
www.coldwellbankerhomes.com,14191,1583486871,"",43,2,19,6,9,818741,10966,608720,108147,46724,2006,0.64,3953,78,4707,5057,5249,5249
www.fcfar.unesp.br,14194,1584326987,"",83,4,22,9,39,4561367,13975,904553,103770,3415581,9663,0.03,7670,598,22269,7670,11373,28006
www.feg.unesp.br,14194,1584694370,"",88,3,21,8,48,5664706,13669,860752,103697,4556947,4048,0.15,4464,495,18773,4464,7908,32996
www.feb.unesp.br,14194,1584668557,"",67,1,16,7,36,5791955,3992,389554,59444,5229489,2238,0.33,4322,415,16206,4322,7495,7495
www.franca.unesp.br,14194,1584854908,"",93,10,25,8,41,4634608,61906,907842,103697,3422280,2074,0.11,4739,550,20297,7368,8441,35676
www.ibb.unesp.br,14194,1584632226,"",113,13,32,12,42,9008659,70852,1025273,127893,7287860,2191,0.1,4619,604,31501,8313,9776,45971
unesp.br,14194,1584755957,"",91,4,24,9,48,10095328,26698,909535,104371,8837991,5168,0.08,6838,146,24843,6838,7274,56520
www.ift.unesp.br,14194,1583754385,"",98,7,45,17,19,3857239,21684,1683855,300603,1701633,2089,0.17,4349,360,15403,4349,7519,26275
www.bauru.unesp.br,14194,1584684302,"",51,2,16,8,15,1645535,4039,389554,59611,982892,3519,0.27,5194,240,10631,5194,8217,8217
www.rosana.unesp.br,14194,1583250721,"",77,7,21,8,33,4107004,32391,852773,103828,2989763,2120,0.14,4697,436,15448,4697,7994,25005
www.fca.unesp.br,14194,1583133168,"",63,1,16,7,32,2997837,4079,389415,59444,2434004,2107,0.31,4344,373,14485,4344,7737,7737
www.faac.unesp.br,14194,1584863000,"",87,1,16,7,55,4037671,4003,389554,59444,3474051,3366,0.2,5202,318,17983,5202,9676,9676
www.fclar.unesp.br,14194,1583274877,"",69,3,21,8,30,3838641,13278,852773,103828,2745666,2134,0.13,4764,876,15550,4764,8501,27353
www.fcav.unesp.br,14194,1583351971,"",70,4,21,8,30,3225216,18484,854910,103828,2121325,2081,0.13,4887,341,19645,4887,7929,26072
www.iq.unesp.br,14194,1584457796,"",80,3,21,8,40,3695024,13544,858291,103708,2595326,2391,0.17,4321,368,14214,4321,7565,25102
www.ourinhos.unesp.br,14194,1584023199,"",62,1,16,7,30,3807242,3977,389576,59444,2916979,2514,0.28,4573,373,14859,4573,8052,8052
www.fc.unesp.br,14194,1584819533,"",78,4,21,8,37,4995371,23390,860752,103697,3883395,2233,0.15,4487,368,16850,4487,7668,29382
www.itapeva.unesp.br,14194,1584641580,"",82,3,21,8,40,6849513,23342,860486,103697,5738442,2096,0.15,4565,587,21507,4565,7994,28888
www.ict.unesp.br,14194,1583231682,"",71,1,18,7,38,2399440,4502,436210,58983,1790190,3656,0.19,5360,693,15391,5360,9529,9529
www.cedem.unesp.br,14194,1583556294,"",82,8,25,8,32,6563173,42408,901813,103570,4803919,2060,0.14,4722,387,20115,4722,7942,37630
www.feis.unesp.br,14194,1584322526,"",66,3,23,8,24,3604298,13830,904690,103708,2458008,2779,0.24,5118,343,18336,5118,8372,8372
www.marilia.unesp.br,14194,1583960706,"",58,1,16,7,27,6301400,3985,389351,59444,5736000,2241,0.29,4554,459,16661,4554,7946,7946
www.dracena.unesp.br,14194,1584660657,"",73,7,21,8,27,3677581,27453,860751,103697,2558191,3575,0.12,5073,524,16244,5073,8484,26331
